Theatre_Name,Theatre_Type,Total_Theatre_Seats_Capacity,Theatre_Max_Price_Seats_Capacity,Theatre_Min_Price_Seats_Capacity,State,City,City_Type,Max_Shows_Allowed_Per_Day,Ticket_Price_Max,Ticket_Price_Min,First_Day_Revenue
Thaker-Bhardwaj,Single Screen,361,345,16,Haryana,Gwalior,C,4,580,137,809168
"Sinha, Mistry and Chokshi",IMAX,135,132,3,Telangana,Tirupati,C,6,407,83,323838
Murty and Sons,Multiplex,108,105,3,Jharkhand,Hyderabad,C,6,633,88,400374
"Wason, Kanda and Srinivasan",Multiplex,190,175,15,Uttar Pradesh,Ghaziabad,C,3,659,186,354345
Viswanathan LLC,Multiplex,147,140,7,Assam,Satara,C,4,671,188,381024
Saha-Bains,Multiplex,320,294,26,Andhra Pradesh,Hubli–Dharwad,C,5,657,61,973720
"Master, Chopra and Dugar",IMAX,217,202,15,Himachal Pradesh,Kishanganj,C,6,389,200,489468
"Ray, Pant and Prasad",Multiplex,317,309,8,Punjab,Ramagundam,C,5,454,109,705790
Pandit-Ratta,Multiplex,245,226,19,Odisha,Thiruvananthapuram,C,6,341,98,473568
"Khanna, Chopra and Shenoy",Multiplex,103,94,9,West Bengal,Raebareli,C,3,476,51,135609
Mane-Sant,IMAX,205,195,10,Rajasthan,Mehsana,C,6,395,77,466770
"Shanker, Shukla and Bhasin",Single Screen,318,302,16,Andhra Pradesh,Dhanbad,C,5,647,187,991930
Chauhan Ltd,IMAX,389,366,23,Arunachal Pradesh,Nagaon,C,5,558,151,1038505
Ramesh-Sem,Single Screen,311,281,30,Haryana,Bijapur,C,4,399,193,471636
Palla-Talwar,IMAX,229,220,9,Maharashtra,Hyderabad,C,5,606,151,673395
"Prakash, Deshmukh and Krish",Single Screen,160,153,7,Goa,Moradabad,C,6,610,91,563802
Garg-Sani,Multiplex,209,193,16,Manipur,Bareilly,C,6,612,136,721752
"Palan, Bhat and Dugar",Multiplex,182,170,12,Himachal Pradesh,Sambalpur,C,3,621,73,319338
"Shere, Salvi and Ganesan",Single Screen,341,314,27,Karnataka,Sikar,C,3,242,117,237441
Bali-Acharya,Single Screen,289,287,2,Arunachal Pradesh,Amravati,C,3,580,148,500268
"Shere, Kala and Chauhan",IMAX,366,348,18,Bihar,Bhagalpur,C,3,694,94,729612
Verma PLC,IMAX,324,324,0,Tripura,Kolhapur,C,4,645,182,835920
Kakar-Sankaran,Mini,199,198,1,Bihar,Jehanabad,C,4,524,93,415380
Chakraborty and Sons,Multiplex,284,277,7,Bihar,Panvel,C,3,290,72,242502
Chowdhury-Dhawan,Mini,304,293,11,Bihar,Sambalpur,C,6,417,200,746286
Lata-Chacko,Single Screen,365,365,0,Punjab,Kakinada,C,3,680,73,744600
Chaudry LLC,Mini,386,349,37,Meghalaya,Kalyan-Dombivli,C,5,387,120,697515
Sankar and Sons,Single Screen,199,185,14,Rajasthan,Jalandhar,C,6,504,51,563724
"Jayaraman, Raman and Bassi",Mini,189,176,13,Arunachal Pradesh,Nandyal,C,3,496,68,264540
"Korpal, Arya and Baral",Mini,274,271,3,Maharashtra,Bettiah,C,5,658,187,894395
Kothari-Bhagat,Mini,326,302,24,Manipur,Jalna,C,6,604,112,1110576
Sheth-Devan,Mini,334,305,29,Uttarakhand,Thrissur,C,3,456,79,424113
"Brar, Rajan and Shroff",Mini,134,128,6,Gujarat,Adoni,C,4,556,108,287264
Narain-Shere,Mini,311,289,22,Chhattisgarh,Sangli-Miraj & Kupwad,C,3,568,117,500178
Patil-Oza,Single Screen,247,245,2,Sikkim,Rajahmundry,C,6,554,137,816024
"Master, Brahmbhatt and Tella",Multiplex,383,372,11,Bihar,Noida,C,6,370,140,835080
Thakkar-Uppal,Single Screen,393,376,17,Rajasthan,Jhansi,C,4,694,98,1050440
Shenoy and Sons,IMAX,202,195,7,Himachal Pradesh,Tumkur,C,4,656,117,514956
Verma Ltd,Single Screen,217,211,6,Haryana,Fatehpur,C,4,638,141,541856
"Mani, Deol and Bhasin",Single Screen,154,151,3,Chhattisgarh,Karawal Nagar,C,3,556,176,253452
Mahal Ltd,Multiplex,377,375,2,Nagaland,Panvel,C,6,400,130,901560
Mohanty Ltd,IMAX,394,377,17,Madhya Pradesh,Maheshtala,C,6,303,180,703746
Jhaveri PLC,Mini,303,296,7,Punjab,Shimla,C,4,237,184,285760
Saran Inc,IMAX,344,310,34,Assam,Nagpur,C,3,467,138,448386
Chopra Group,IMAX,189,175,14,Gujarat,Kumbakonam,C,3,567,182,305319
Garg Ltd,IMAX,261,239,22,Haryana,Darbhanga,C,3,216,103,161670
Mukherjee Ltd,IMAX,397,391,6,Madhya Pradesh,Durg,C,5,395,116,775705
Talwar LLC,Single Screen,380,364,16,Himachal Pradesh,Morena,C,4,347,170,516112
Kade-Dugar,Mini,287,282,5,Jharkhand,Tadepalligudem,C,6,427,103,725574
Dubey-Pillay,IMAX,290,279,11,Uttar Pradesh,Shivpuri,C,6,353,165,601812
Desai LLC,Single Screen,392,384,8,West Bengal,Chinsurah,C,4,626,75,963936
"Pillay, Kant and Sankaran",Mini,220,203,17,Uttarakhand,Gulbarga,C,6,648,147,804258
Srinivas-Pant,Single Screen,174,170,4,Bihar,Ambarnath,C,6,622,52,635688
Deol Group,Single Screen,315,284,31,Haryana,Avadi,C,4,667,182,780280
Nair-Narasimhan,Mini,349,330,19,Bihar,Motihari,C,5,497,195,838575
"Munshi, Swamy and Kulkarni",Multiplex,303,300,3,Madhya Pradesh,Kolhapur,C,4,240,105,289260
Sem-Dhillon,Mini,343,337,6,Madhya Pradesh,Visakhapatnam,C,6,591,135,1199862
Swaminathan Group,Mini,284,273,11,Tamil Nadu,Meerut,C,5,386,55,529915
Hora Inc,IMAX,162,151,11,Odisha,Pimpri-Chinchwad,C,4,505,197,313688
Kapadia LLC,Single Screen,245,234,11,Odisha,Delhi,C,5,554,180,658080
Atwal Ltd,IMAX,328,323,5,Gujarat,Tadepalligudem,C,6,524,123,1019202
Kata-Kapoor,IMAX,174,169,5,Tamil Nadu,Ambattur,C,5,425,196,364025
Sundaram-Issac,IMAX,136,135,1,Goa,Thiruvananthapuram,C,4,385,108,208332
"Gera, Choudhury and Kant",Mini,262,242,20,Assam,Nagercoil,C,5,573,118,705130
Atwal-Manne,IMAX,238,224,14,Jharkhand,Kochi,C,5,592,200,677040
Dixit-Wable,IMAX,311,301,10,Sikkim,Chapra,C,4,647,55,781188
Solanki-Dora,Single Screen,220,199,21,Himachal Pradesh,Jamnagar,C,5,691,70,694895
Batra LLC,Single Screen,185,173,12,Mizoram,Shahjahanpur,C,3,258,66,136278
Pandya and Sons,IMAX,380,377,3,Bihar,Pune,C,3,604,151,684483
"Thaman, Balakrishnan and More",Multiplex,153,145,8,Punjab,Bardhaman,C,4,253,149,151508
Tak-Bhakta,Mini,217,210,7,Chhattisgarh,Sultan Pur Majra,C,5,436,82,460670
Sekhon Ltd,Single Screen,369,359,10,Assam,Ulhasnagar,C,3,227,141,248709
"Nagar, Bhagat and Sarma",Mini,343,314,29,Madhya Pradesh,Jehanabad,C,5,490,163,792935
"Suri, Sem and Saha",Single Screen,376,365,11,Chhattisgarh,Jehanabad,C,6,533,194,1180074
Grewal-Karnik,IMAX,368,334,34,Uttarakhand,Satna,C,5,675,138,1150710
Master-Borde,IMAX,376,362,14,West Bengal,Gandhinagar,C,3,436,128,478872
Jha-Som,Mini,311,295,16,Rajasthan,Bhopal,C,4,365,52,434028
"Saran, Jani and Venkatesh",Multiplex,367,359,8,Mizoram,Moradabad,C,5,356,170,645820
"Sarkar, Bahl and Manda",Multiplex,351,321,30,Bihar,Patna,C,5,214,160,367470
Chandran Ltd,Mini,218,218,0,Haryana,Jamalpur,C,5,306,155,333540
Radhakrishnan LLC,IMAX,302,295,7,Assam,Nellore,C,4,576,149,683852
Panchal LLC,IMAX,212,204,8,Sikkim,Agartala,C,3,426,111,263376
Ranganathan-Barad,Mini,245,225,20,Tripura,Bidhannagar,C,5,421,98,483425
Rege-Muni,Multiplex,193,189,4,Arunachal Pradesh,Satna,C,5,266,166,254690
Batta-Krishna,IMAX,239,217,22,Chhattisgarh,Danapur,C,6,306,132,415836
Taneja-Shroff,Multiplex,177,176,1,Uttar Pradesh,Bettiah,C,3,305,76,161268
"Dhaliwal, Naik and Sehgal",Mini,237,233,4,Himachal Pradesh,Amroha,C,6,582,52,814884
Saraf Ltd,Single Screen,146,144,2,Mizoram,Coimbatore,C,3,462,105,200214
Banerjee and Sons,Mini,315,296,19,Tripura,Shivpuri,C,6,400,168,729552
"Atwal, Sama and Suresh",Multiplex,269,267,2,Andhra Pradesh,Amritsar,C,4,238,118,255128
Oak PLC,IMAX,136,128,8,Uttar Pradesh,Munger,C,6,302,99,236688
"Nair, Sachdeva and Om",Mini,295,269,26,Madhya Pradesh,Ujjain,C,3,272,113,228318
Balay Inc,IMAX,326,311,15,Kerala,Narasaraopet,C,3,311,167,297678
"Jayaraman, Shenoy and Balan",Multiplex,366,353,13,Gujarat,Bareilly,C,6,409,129,876324
"Varughese, Grover and Banerjee",Mini,181,180,1,Tamil Nadu,Vadodara,C,3,339,173,183579
Mand-Banerjee,Mini,201,190,11,Punjab,Bareilly,C,3,652,105,375105
Chauhan-Mitter,Multiplex,220,200,20,Jharkhand,Kottayam,C,6,376,53,457560
Bhat-Pandey,Single Screen,241,223,18,Mizoram,Kurnool,C,3,412,112,281676
"Mane, Hans and Mane",Multiplex,121,112,9,Bihar,Navi Mumbai,C,6,562,89,382470
Hegde-Dhar,Mini,145,142,3,Nagaland,Giridih,C,4,465,73,264996
Mane Inc,Mini,130,130,0,Haryana,Haridwar,C,5,540,89,351000
Chowdhury-Rajagopalan,Multiplex,164,149,15,West Bengal,Kanpur,C,4,372,192,233232
Pillay and Sons,Mini,324,312,12,Uttar Pradesh,Bhatpara,C,3,562,146,531288
Sachdev PLC,Mini,168,160,8,Sikkim,Pune,C,3,458,162,223728
Walla-Bhakta,Mini,377,346,31,Punjab,Allahabad,C,4,500,97,704028
"Mannan, Saran and Sethi",Mini,265,242,23,Himachal Pradesh,Dehradun,C,6,350,191,534558
Gupta Ltd,Single Screen,135,127,8,Jharkhand,Jamnagar,C,4,440,125,227520
Sawhney-Ahuja,Mini,377,354,23,Odisha,Shimoga,C,6,210,179,470742
Nayak Group,IMAX,194,194,0,Maharashtra,Chandrapur,C,5,607,111,588790
Dhingra PLC,Mini,132,122,10,Bihar,Eluru,C,6,307,184,235764
Balasubramanian Group,IMAX,382,373,9,Odisha,Ballia,C,5,375,154,706305
Mannan-Patla,Mini,156,153,3,Haryana,Pune,C,3,232,83,107235
"Mittal, Koshy and Yohannan",Single Screen,116,113,3,Punjab,Latur,C,3,458,99,156153
Khosla PLC,Multiplex,116,107,9,Rajasthan,Varanasi,C,6,546,175,359982
Shanker and Sons,Mini,125,120,5,Karnataka,Sasaram,C,4,520,68,250960
Kothari-Johal,Multiplex,206,186,20,Bihar,Bhind,C,6,685,70,772860
"Jayaraman, Handa and Sawhney",IMAX,131,126,5,Assam,Muzaffarnagar,C,6,630,144,480600
"Srinivas, Kala and Pant",Multiplex,236,220,16,Maharashtra,Tirunelveli,C,3,585,68,389364
Contractor-Dewan,Mini,139,136,3,Karnataka,Baranagar,C,3,261,109,107469
Tailor Inc,IMAX,197,191,6,Meghalaya,Adoni,C,4,501,95,385044
"Bail, Randhawa and Varghese",IMAX,154,143,11,Arunachal Pradesh,Tadipatri,C,6,569,159,498696
Ramaswamy Inc,Multiplex,185,180,5,Gujarat,Uluberia,C,6,468,136,509520
Shenoy-Morar,Single Screen,373,345,28,Sikkim,Gaya,C,5,672,130,1177400
"Basu, Basu and Pathak",Mini,290,277,13,Maharashtra,Anantapuram,C,6,632,132,1060680
Dugal and Sons,Single Screen,388,354,34,Assam,Hubli–Dharwad,C,4,402,190,595072
"Dey, Trivedi and Dugal",Mini,284,270,14,Madhya Pradesh,Burhanpur,C,6,413,50,673260
More LLC,Multiplex,245,226,19,Haryana,Jammu,C,3,475,84,326838
"Krishna, Mall and Vaidya",Mini,103,99,4,Kerala,Raurkela Industrial Township,C,4,319,130,128404
Rau-Jha,Multiplex,241,224,17,West Bengal,Tenali,C,4,258,59,235180
Sachar LLC,IMAX,282,278,4,Manipur,Panvel,C,4,345,143,385928
Naik Inc,Single Screen,219,211,8,Arunachal Pradesh,Phagwara,C,5,257,196,278975
Murthy PLC,IMAX,391,378,13,Uttar Pradesh,Bhubaneswar,C,3,580,133,662907
Oommen-Iyengar,IMAX,188,173,15,Goa,Noida,C,3,514,126,272436
"Sunder, Rattan and Thaman",Multiplex,395,371,24,Meghalaya,Jamshedpur,C,3,609,64,682425
Jayaraman Ltd,Mini,278,252,26,Maharashtra,Moradabad,C,6,423,80,652056
Lala-Mangat,Single Screen,105,95,10,Uttarakhand,Narasaraopet,C,6,237,128,142770
Balasubramanian-Banik,Multiplex,263,246,17,Odisha,Hubli–Dharwad,C,4,377,178,383072
"Puri, Kaul and Zacharia",Single Screen,178,177,1,Karnataka,Farrukhabad,C,6,438,197,466338
Parmer PLC,Multiplex,213,200,13,Odisha,Farrukhabad,C,5,612,150,621750
Mammen Ltd,Single Screen,167,157,10,Maharashtra,Pallavaram,C,3,453,196,219243
Mital-Balan,Multiplex,380,355,25,Punjab,Agartala,C,5,253,152,468075
Prakash and Sons,IMAX,166,162,4,Mizoram,Haldia,C,6,496,100,484512
Walia and Sons,IMAX,302,282,20,Karnataka,Bidhannagar,C,4,497,184,575336
Manda-Singhal,Single Screen,224,222,2,Gujarat,Sangli-Miraj & Kupwad,C,5,607,160,675370
Goel PLC,Mini,394,389,5,Meghalaya,Sikar,C,3,553,155,647676
"Dewan, Bahl and Boase",IMAX,287,276,11,Tripura,Ludhiana,C,4,374,138,418968
Ram LLC,Multiplex,256,251,5,Uttar Pradesh,Patna,C,5,525,163,662950
Balan Ltd,Single Screen,325,323,2,Madhya Pradesh,Visakhapatnam,C,4,312,145,404264
"Sethi, Divan and Srinivas",Single Screen,143,142,1,Haryana,Dindigul,C,3,334,87,142545
"Majumdar, Badami and Koshy",Mini,107,102,5,Assam,Sirsa,C,3,366,165,114471
Bajwa-D’Alia,IMAX,111,106,5,Tamil Nadu,Mira-Bhayandar,C,4,588,187,253052
Sarna-Chakrabarti,Single Screen,204,187,17,Maharashtra,Tirunelveli,C,5,490,173,472855
Sankar Ltd,Single Screen,109,103,6,Gujarat,Moradabad,C,3,340,93,106734
Raval-Rout,Multiplex,245,239,6,Gujarat,Kolkata,C,5,237,169,288285
Yadav-Chacko,Multiplex,134,128,6,Maharashtra,Gulbarga,C,5,549,142,355620
Parikh Group,Multiplex,109,105,4,Telangana,Kanpur,C,6,328,147,210168
Rout Group,Multiplex,261,246,15,Kerala,Bulandshahr,C,3,305,100,229590
Kunda-Nayar,IMAX,387,386,1,Kerala,Aurangabad,C,3,336,185,389643
Bhagat-Gandhi,Mini,270,255,15,West Bengal,Narasaraopet,C,6,591,90,912330
"Sagar, Bala and Palla",Multiplex,277,256,21,Haryana,Vijayawada,C,5,391,127,513815
"Dugal, Patel and Walia",Single Screen,356,339,17,Haryana,Asansol,C,3,530,115,544875
"Talwar, Narain and Wali",IMAX,115,107,8,Chhattisgarh,Motihari,C,5,325,88,177395
Sen PLC,Mini,301,280,21,Madhya Pradesh,Tezpur,C,4,254,147,296828
Mitra LLC,Single Screen,313,298,15,West Bengal,Srinagar,C,4,428,129,517916
"Subramanian, Bhagat and Walla",Mini,329,321,8,Sikkim,Ahmednagar,C,4,544,85,701216
"Karan, Thaman and Borra",Single Screen,170,161,9,Manipur,Raurkela Industrial Township,C,4,430,87,280052
"Verma, Anne and Purohit",Single Screen,262,260,2,Goa,Morena,C,3,304,131,237906
"Sen, Brahmbhatt and Seshadri",Single Screen,115,110,5,Uttar Pradesh,Jamshedpur,C,6,420,127,281010
"Arora, Parikh and Pant",IMAX,240,236,4,Meghalaya,Indore,C,4,264,83,250544
Devi Ltd,Single Screen,113,104,9,Himachal Pradesh,Satara,C,5,520,195,279175
"Singhal, Swamy and Halder",Single Screen,218,211,7,Karnataka,Sambalpur,C,3,393,70,250239
"Kapadia, Mani and Warrior",IMAX,168,152,16,Goa,Munger,C,6,574,145,537408
Srivastava PLC,Single Screen,298,283,15,Himachal Pradesh,Delhi,C,6,280,91,483630
Yadav-Amble,Single Screen,215,214,1,Himachal Pradesh,Haridwar,C,6,601,53,772002
"Seshadri, Khatri and Virk",Mini,311,297,14,Jharkhand,Rohtak,C,4,597,102,714948
Kannan Inc,Multiplex,190,176,14,Himachal Pradesh,Giridih,C,6,562,133,604644
"Mishra, Hegde and Dubey",IMAX,226,213,13,Haryana,Phusro,C,6,607,60,780426
"Patel, Shroff and Mohanty",IMAX,260,248,12,Nagaland,Kurnool,C,3,476,77,356916
"Rajagopalan, Narang and Gaba",IMAX,333,331,2,Telangana,Sasaram,C,4,475,187,630396
Ganesan Ltd,IMAX,120,112,8,Telangana,Durgapur,C,6,474,62,321504
Wadhwa-Nagar,Single Screen,249,235,14,West Bengal,Varanasi,C,6,662,127,944088
Kamdar-Ghose,Mini,336,326,10,Tripura,Pali,C,6,360,63,707940
Sathe-Savant,Single Screen,337,309,28,Sikkim,Ulhasnagar,C,3,579,178,551685
"Edwin, Kunda and Dey",Multiplex,192,174,18,Gujarat,Bhilwara,C,4,411,155,297216
Warrior Inc,Mini,330,329,1,Maharashtra,Nagpur,C,4,442,101,582076
"Narayanan, Hari and Chandran",IMAX,146,142,4,Tamil Nadu,Anantapuram,C,5,564,91,402260
Venkatesh Inc,Multiplex,146,145,1,Gujarat,Jaunpur,C,6,534,142,465432
Parsa-Sem,Multiplex,368,344,24,Mizoram,Orai,C,4,403,190,572768
"Narain, Narain and Setty",IMAX,122,110,12,Mizoram,Katihar,C,4,677,135,304360
"Brar, Rajagopal and Sridhar",Single Screen,183,179,4,Odisha,Burhanpur,C,4,603,63,432756
Balasubramanian LLC,IMAX,257,248,9,Gujarat,Kolkata,C,6,357,96,536400
Naidu-Nigam,Multiplex,167,161,6,Kerala,Varanasi,C,3,528,114,257076
Deshpande PLC,Multiplex,334,303,31,West Bengal,Kadapa,C,6,488,51,896670
"Saha, Balakrishnan and Narang",IMAX,221,215,6,Himachal Pradesh,Shahjahanpur,C,6,442,154,575724
Bala-Agate,IMAX,140,131,9,Maharashtra,Bangalore,C,3,335,190,136785
Bhardwaj Inc,Mini,385,372,13,Haryana,Raipur,C,3,304,87,342657
Dugar-Chakrabarti,Multiplex,278,277,1,Manipur,Chittoor,C,4,647,58,717108
"Yohannan, Jha and Kulkarni",Mini,269,267,2,Tamil Nadu,Mangalore,C,3,265,156,213201
Sarin LLC,Single Screen,182,173,9,Tripura,Guntakal,C,4,443,198,313684
Bora-Borah,Mini,118,117,1,Tripura,Rewa,C,5,375,144,220095
Zachariah-Nayar,IMAX,134,122,12,Andhra Pradesh,Kishanganj,C,6,641,190,482892
"Puri, Choudhary and Kala",Multiplex,249,234,15,Assam,Durg,C,4,272,120,261792
"Badal, Kara and Handa",Mini,369,343,26,Andhra Pradesh,Naihati,C,4,566,103,787264
Tandon-Krish,Multiplex,155,153,2,Meghalaya,Tiruchirappalli,C,6,580,123,533916
Agrawal and Sons,IMAX,262,254,8,West Bengal,Chandigarh,C,5,684,83,872000
Goel-Sidhu,IMAX,366,335,31,Gujarat,Kakinada,C,6,623,96,1270086
"Grover, Sabharwal and Sharaf",Single Screen,248,242,6,Punjab,Siwan,C,3,270,56,197028
"Seth, Chanda and Rai",IMAX,160,154,6,Mizoram,Panipat,C,6,421,61,391200
Kibe-Kalita,Mini,279,262,17,Arunachal Pradesh,Anantapuram,C,4,215,101,232188
"Kothari, Sengupta and Srivastava",Mini,230,228,2,Odisha,Pondicherry,C,5,363,179,415610
Bahri-Tara,Mini,103,102,1,Uttarakhand,Firozabad,C,5,384,151,196595
Om PLC,Multiplex,189,183,6,West Bengal,Maheshtala,C,5,636,136,586020
"Kale, Sankaran and Sem",IMAX,342,340,2,Telangana,Lucknow,C,4,456,89,620872
Vora Ltd,IMAX,374,353,21,Tamil Nadu,Bijapur,C,6,611,155,1313628
Rege-Khosla,Multiplex,366,347,19,Meghalaya,Tirupati,C,5,494,187,874855
"Walla, Bose and Prashad",Multiplex,206,188,18,Meghalaya,Raiganj,C,5,619,140,594460
"Khatri, Kota and Sane",Multiplex,176,168,8,Tripura,Mirzapur,C,3,383,146,196536
Nair-Dey,Single Screen,392,354,38,Telangana,Rampur,C,6,305,79,665832
Dash and Sons,Mini,261,239,22,Maharashtra,Chinsurah,C,3,349,155,260463
"Dara, Kara and Sabharwal",Multiplex,354,339,15,Odisha,Moradabad,C,5,441,127,757020
Mishra-Choudhry,Single Screen,368,349,19,Andhra Pradesh,Hazaribagh,C,4,267,145,383752
Bala-Varghese,Multiplex,203,201,2,Uttar Pradesh,Bongaigaon,C,6,469,56,566286
"Dyal, Sachdev and Kata",IMAX,356,347,9,Uttarakhand,Raiganj,C,4,384,173,539220
Khosla-Natt,Mini,267,263,4,Assam,Machilipatnam,C,3,630,182,499254
Ray-Koshy,Single Screen,205,204,1,Telangana,Tezpur,C,6,408,183,500490
Prakash-Goda,Multiplex,102,98,4,Gujarat,Narasaraopet,C,3,561,72,165798
Ratta-Kuruvilla,Mini,339,337,2,Haryana,Salem,C,3,476,129,482010
Naidu-Mukherjee,Multiplex,395,376,19,Madhya Pradesh,Bhalswa Jahangir Pur,C,4,374,101,570172
Sethi-Kulkarni,Single Screen,246,238,8,Meghalaya,Akola,C,5,605,162,726430
Srinivas LLC,Multiplex,239,235,4,Uttar Pradesh,Chandrapur,C,4,350,79,330264
"Mishra, Chaudry and Sekhon",Multiplex,386,354,32,Nagaland,Kolhapur,C,3,315,188,352578
"Gulati, Nadig and Bumb",Mini,381,361,20,Tripura,Gaya,C,5,282,122,521210
Narasimhan-Deol,Single Screen,187,185,2,Himachal Pradesh,Muzaffarnagar,C,5,523,136,485135
"Sood, Gopal and Bose",IMAX,125,123,2,Rajasthan,Lucknow,C,3,451,62,166791
"Bora, Bora and Nadig",Multiplex,296,295,1,Assam,Ludhiana,C,3,428,150,379230
"Mitter, Halder and Sarma",Single Screen,328,306,22,Odisha,Ajmer,C,5,380,100,592400
"Wali, Patla and Puri",Multiplex,338,330,8,Chhattisgarh,Mau,C,3,626,169,623796
"Boase, Yadav and Batta",Multiplex,333,314,19,Punjab,Thrissur,C,6,450,109,860226
Sur-Borah,Single Screen,173,165,8,Tamil Nadu,Bihar Sharif,C,5,410,96,342090
"Bhattacharyya, Nayar and Varma",Mini,266,252,14,Haryana,Anantapuram,C,6,225,66,345744
Jani-Puri,IMAX,157,146,11,Telangana,Gurgaon,C,6,446,93,396834
"Brahmbhatt, Ratti and Tella",Mini,278,259,19,Karnataka,Guna,C,4,470,76,492696
Babu-Subramanian,IMAX,154,144,10,Karnataka,Hospet,C,3,615,127,269490
Dave-Bumb,IMAX,305,287,18,Madhya Pradesh,Jehanabad,C,6,332,112,583800
"Sundaram, Tandon and Lall",Single Screen,346,322,24,Punjab,Saharsa,C,3,384,103,378360
Wable and Sons,IMAX,322,301,21,Kerala,Jalandhar,C,4,298,69,364588
"Ahuja, Gandhi and Aggarwal",IMAX,158,144,14,Andhra Pradesh,Ahmedabad,C,5,494,74,360860
"Zacharia, Balakrishnan and Talwar",IMAX,190,181,9,Haryana,Ajmer,C,6,245,77,270228
"Panchal, Pandit and Hari",IMAX,267,252,15,Jharkhand,Thrissur,C,3,256,105,198261
Wason and Sons,Single Screen,397,397,0,Punjab,Allahabad,C,4,548,88,870224
Som-Banerjee,IMAX,372,354,18,Mizoram,Ratlam,C,6,525,197,1136376
"Upadhyay, Choudhary and Mand",IMAX,200,194,6,Himachal Pradesh,Udupi,C,5,363,195,357960
Keer Inc,Mini,322,300,22,Odisha,Unnao,C,3,508,52,460632
Koshy-Bora,IMAX,165,156,9,Uttarakhand,Farrukhabad,C,3,399,190,191862
Guha LLC,Multiplex,100,92,8,Uttar Pradesh,Patiala,C,5,266,122,127240
Dhillon-Kade,Multiplex,220,207,13,West Bengal,Ahmednagar,C,6,530,131,668478
"Bhargava, Bassi and Apte",IMAX,307,295,12,Tamil Nadu,Dewas,C,6,489,104,873018
Subramanian Group,Single Screen,343,335,8,Uttarakhand,Bally,C,4,494,148,666696
Bandi Ltd,Mini,313,304,9,Uttar Pradesh,Bathinda,C,5,656,82,1000810
Narang-Gandhi,Single Screen,105,104,1,Himachal Pradesh,Khora ,C,3,283,174,88818
Luthra-Mann,IMAX,169,167,2,Telangana,Tumkur,C,4,538,156,360632
"Subramanian, Hora and Goda",IMAX,317,306,11,Meghalaya,Loni,C,6,470,158,873348
Divan-Srinivas,IMAX,296,285,11,Bihar,Patna,C,4,305,158,354652
"Maharaj, Sant and Chana",Multiplex,395,364,31,Rajasthan,Gudivada,C,4,574,178,857816
Sen Ltd,Mini,310,287,23,Gujarat,Gwalior,C,3,229,195,210624
Purohit-Kalita,IMAX,288,285,3,Manipur,Delhi,C,6,563,70,963990
Rattan and Sons,Single Screen,369,352,17,Chhattisgarh,Junagadh,C,6,474,70,1008228
Saini-Dhillon,Multiplex,225,210,15,Rajasthan,Kakinada,C,3,560,188,361260
"Balakrishnan, Mahal and Chopra",Mini,127,122,5,Uttarakhand,Khora ,C,3,450,166,167190
Choudhary LLC,IMAX,393,372,21,Nagaland,Muzaffarnagar,C,6,390,125,886230
Tandon-Bahri,Mini,185,184,1,Madhya Pradesh,Mehsana,C,5,582,194,536410
Chowdhury-Upadhyay,Mini,131,121,10,Punjab,Siwan,C,6,506,93,372936
Deshmukh LLC,Multiplex,249,226,23,Himachal Pradesh,Madurai,C,3,356,174,253374
Arora-Rege,Multiplex,164,148,16,Sikkim,Kumbakonam,C,3,645,121,292188
Gara-Gandhi,Mini,167,159,8,Tamil Nadu,Suryapet,C,5,649,115,520555
Parikh LLC,Multiplex,157,152,5,Kerala,Ujjain,C,4,547,164,335856
"Prasad, Keer and Baria",Mini,189,181,8,Chhattisgarh,Mathura,C,4,458,96,334664
Modi PLC,Multiplex,275,273,2,Himachal Pradesh,Nizamabad,C,4,514,89,562000
Goel LLC,IMAX,311,287,24,Madhya Pradesh,Ozhukarai,C,4,548,162,644656
Bera and Sons,Single Screen,207,189,18,Karnataka,Raebareli,C,5,237,117,234495
"Sodhi, Rama and Babu",Multiplex,126,124,2,Meghalaya,Bijapur,C,6,414,171,310068
Thakur Ltd,Mini,343,309,34,Sikkim,Bhimavaram,C,4,404,149,519608
Venkataraman-Nagi,IMAX,234,230,4,Himachal Pradesh,Indore,C,6,216,123,301032
Rege and Sons,IMAX,295,274,21,Bihar,Malegaon,C,5,481,60,665270
Kumar Ltd,Multiplex,372,350,22,Himachal Pradesh,Ulhasnagar,C,6,522,119,1111908
"Roy, Goel and Kapoor",Mini,238,230,8,Telangana,Bhimavaram,C,3,340,199,239376
Wali-Dhar,IMAX,336,321,15,Madhya Pradesh,Thiruvananthapuram,C,4,476,136,619344
"Sarma, Deshmukh and Saini",Single Screen,260,243,17,Arunachal Pradesh,Ahmednagar,C,3,554,52,406518
Khatri-Wali,Multiplex,106,100,6,Nagaland,Sikar,C,3,478,76,144768
Singh-Pall,IMAX,279,272,7,Telangana,Anantapuram,C,5,338,99,463145
"Purohit, Patla and Balasubramanian",Multiplex,112,103,9,Rajasthan,Motihari,C,3,239,105,76686
Gera LLC,Multiplex,161,159,2,Punjab,Jehanabad,C,4,402,194,257224
"Agrawal, Gola and Krishnan",Single Screen,156,151,5,Bihar,Raebareli,C,5,360,169,276025
Saraf and Sons,Multiplex,332,315,17,Telangana,Mehsana,C,6,564,132,1079424
Gola-Madan,Mini,182,180,2,Goa,Kollam,C,5,607,65,546950
